time,rate
1981M01,0.96
1981M02,1.43
1981M03,1.09
1981M04,0.86
1981M05,1.01
1981M06,1.33
1981M07,1.48
1981M08,1.79
1981M09,1.69
1981M10,1.73
1981M11,1.55
1981M12,1.32
1982M01,1.36
1982M02,1.62
1982M03,1.32
1982M04,1.49
1982M05,1.98
1982M06,1.95
1982M07,2.21
1982M08,2.65
1982M09,2.68
1982M10,2.77
1982M11,2.71
1982M12,2.79
1983M01,2.73
1983M02,3.45
1983M03,2.91
1983M04,2.61
1983M05,2.42
1983M06,2.51
1983M07,2.88
1983M08,2.91
1983M09,2.7
1983M10,2.79
1983M11,2.34
1983M12,2.27
1984M01,2.34
1984M02,2.75
1984M03,2.09
1984M04,2.01
1984M05,2.11
1984M06,2.23
1984M07,2.52
1984M08,3.02
1984M09,3.03
1984M10,2.77
1984M11,2.25
1984M12,2.21
1985M01,2.03
1985M02,2.15
1985M03,2.49
1985M04,2.28
1985M05,2.57
1985M06,2.53
1985M07,3.44
1985M08,4.1
1985M09,3.62
1985M10,3.45
1985M11,3.28
1985M12,2.91
1986M01,2.53
1986M02,3.33
1986M03,2.79
1986M04,2.34
1986M05,2.34
1986M06,2.72
1986M07,2.93
1986M08,3.11
1986M09,2.96
1986M10,2.61
1986M11,2.33
1986M12,1.98
1987M01,1.92
1987M02,2.37
1987M03,2.03
1987M04,1.72
1987M05,1.94
1987M06,1.75
1987M07,2.02
1987M08,2.08
1987M09,2.07
1987M10,2.01
1987M11,1.86
1987M12,1.82
1988M01,1.77
1988M02,1.7
1988M03,1.79
1988M04,1.59
1988M05,1.74
1988M06,1.83
1988M07,1.94
1988M08,1.87
1988M09,1.62
1988M10,1.54
1988M11,1.48
1988M12,1.41
1989M01,1.35
1989M02,1.88
1989M03,1.46
1989M04,1.31
1989M05,1.5
1989M06,1.68
1989M07,1.76
1989M08,1.87
1989M09,1.72
1989M10,1.48
1989M11,1.45
1989M12,1.36
1990M01,1.31
1990M02,1.6
1990M03,1.51
1990M04,1.32
1990M05,1.48
1990M06,1.67
1990M07,1.96
1990M08,2.1
1990M09,1.98
1990M10,1.73
1990M11,1.8
1990M12,1.52
1991M01,1.37
1991M02,1.35
1991M03,1.39
1991M04,1.4
1991M05,1.43
1991M06,1.37
1991M07,1.82
1991M08,1.78
1991M09,1.79
1991M10,1.56
1991M11,1.49
1991M12,1.39
1992M01,1.37
1992M02,1.54
1992M03,1.38
1992M04,1.33
1992M05,1.4
1992M06,1.54
1992M07,1.76
1992M08,1.92
1992M09,1.72
1992M10,1.55
1992M11,1.36
1992M12,1.27
1993M01,1.23
1993M02,1.32
1993M03,1.34
1993M04,1.34
1993M05,1.29
1993M06,1.4
1993M07,1.71
1993M08,1.9
1993M09,1.58
1993M10,1.58
1993M11,1.39
1993M12,1.24
1994M01,1.2
1994M02,1.66
1994M03,1.52
1994M04,1.38
1994M05,1.43
1994M06,1.53
1994M07,1.85
1994M08,1.99
1994M09,1.65
1994M10,1.62
1994M11,1.48
1994M12,1.41
1995M01,1.38
1995M02,1.7
1995M03,1.53
1995M04,1.53
1995M05,1.63
1995M06,1.77
1995M07,1.95
1995M08,2.09
1995M09,2.03
1995M10,2.02
1995M11,1.95
1995M12,1.9
1996M01,2.03
1996M02,2.1
1996M03,2.24
1996M04,2.21
1996M05,2.35
1996M06,2.6
1996M07,2.97
1996M08,3.19
1996M09,3.03
1996M10,3.05
1996M11,2.86
1996M12,2.6
1997M01,2.68
1997M02,2.97
1997M03,2.79
1997M04,2.59
1997M05,2.51
1997M06,2.67
1997M07,2.85
1997M08,3.03
1997M09,2.84
1997M10,2.63
1997M11,2.6
1997M12,2.45
1998M01,2.35
1998M02,2.57
1998M03,2.34
1998M04,2.29
1998M05,2.37
1998M06,2.7
1998M07,2.93
1998M08,3.05
1998M09,2.98
1998M10,2.98
1998M11,2.93
1998M12,2.8
1999M01,2.76
1999M02,2.73
1999M03,2.84
1999M04,2.75
1999M05,2.84
1999M06,2.92
1999M07,3.11
1999M08,3.22
1999M09,3.08
1999M10,3.05
1999M11,2.94
1999M12,2.85
2000M01,2.74
2000M02,2.91
2000M03,2.83
2000M04,2.73
2000M05,2.78
2000M06,2.89
2000M07,3.06
2000M08,3.16
2000M09,3.1
2000M10,3.19
2000M11,3.23
2000M12,3.27
2001M01,3.35
2001M02,3.73
2001M03,3.89
2001M04,3.96
2001M05,4.22
2001M06,4.51
2001M07,4.92
2001M08,5.17
2001M09,5.26
2001M10,5.33
2001M11,5.28
2001M12,5.22
2002M01,5.14
2002M02,5.12
2002M03,5.16
2002M04,4.98
2002M05,5.02
2002M06,5.11
2002M07,5.23
2002M08,5.35
2002M09,5.32
2002M10,5.31
2002M11,5.22
2002M12,5.04
2003M01,5.03
2003M02,5.17
2003M03,5.08
2003M04,4.92
2003M05,4.98
2003M06,5.09
2003M07,5.16
2003M08,5.21
2003M09,5.05
2003M10,4.92
2003M11,4.71
2003M12,4.58
2004M01,4.53
2004M02,4.61
2004M03,4.45
2004M04,4.36
2004M05,4.41
2004M06,4.54
2004M07,4.62
2004M08,4.67
2004M09,4.5
2004M10,4.31
2004M11,4.14
2004M12,4.09
2005M01,4.06
2005M02,4.28
2005M03,4.15
2005M04,4.04
2005M05,4.1
2005M06,4.22
2005M07,4.32
2005M08,4.36
2005M09,4.14
2005M10,4.07
2005M11,3.94
2005M12,3.86
2006M01,3.8
2006M02,3.92
2006M03,3.87
2006M04,3.78
2006M05,3.84
2006M06,3.98
2006M07,4.05
2006M08,4.09
2006M09,3.96
2006M10,3.9
2006M11,3.86
2006M12,3.81
2007M01,3.79
2007M02,3.78
2007M03,3.94
2007M04,3.83
2007M05,3.87
2007M06,3.96
2007M07,4.03
2007M08,4.09
2007M09,3.99
2007M10,3.92
2007M11,3.87
2007M12,3.83
2008M01,3.8
2008M02,3.94
2008M03,3.86
2008M04,3.81
2008M05,3.84
2008M06,3.95
2008M07,4.06
2008M08,4.14
2008M09,4.27
2008M10,4.37
2008M11,4.64
2008M12,5.03
2009M01,5.31
2009M02,5.75
2009M03,5.81
2009M04,5.76
2009M05,5.82
2009M06,5.94
2009M07,6.07
2009M08,6.13
2009M09,6.04
2009M10,5.96
2009M11,5.86
2009M12,5.74
2010M01,5.68
2010M02,5.76
2010M03,5.67
2010M04,5.39
2010M05,5.14
2010M06,5.16
2010M07,5.2
2010M08,5.17
2010M09,5.05
2010M10,4.92
2010M11,4.73
2010M12,4.67
2011M01,4.64
2011M02,4.69
2011M03,4.48
2011M04,4.29
2011M05,4.27
2011M06,4.35
2011M07,4.41
2011M08,4.45
2011M09,4.28
2011M10,4.3
2011M11,4.28
2011M12,4.18
2012M01,4.18
2012M02,4.25
2012M03,4.17
2012M04,4.1
2012M05,4.12
2012M06,4.21
2012M07,4.31
2012M08,4.4
2012M09,4.32
2012M10,4.33
2012M11,4.27
2012M12,4.18
2013M01,4.16
2013M02,4.24
2013M03,4.17
2013M04,4.07
2013M05,4.06
2013M06,4.14
2013M07,4.25
2013M08,4.33
2013M09,4.24
2013M10,4.24
2013M11,4.16
2013M12,4.08
2014M01,4.02
2014M02,4.09
2014M03,4.03
2014M04,3.91
2014M05,3.85
2014M06,3.92
2014M07,4.02
2014M08,4.08
2014M09,3.96
2014M10,3.95
2014M11,3.89
2014M12,3.79
2015M01,3.71
2015M02,3.69
2015M03,3.72
2015M04,3.63
2015M05,3.62
2015M06,3.71
2015M07,3.82
2015M08,3.9
2015M09,3.89
2015M10,3.9
2015M11,3.91
2015M12,3.87
2016M01,3.87
2016M02,3.95
2016M03,3.89
2016M04,3.86
2016M05,3.84
2016M06,3.92
2016M07,4.02
2016M08,4.08
2016M09,3.99
2016M10,3.95
2016M11,3.87
2016M12,3.79
2017M01,3.78
2017M02,3.85
2017M03,3.78
2017M04,3.67
2017M05,3.66
2017M06,3.74
2017M07,3.84
2017M08,3.89
2017M09,3.77
2017M10,3.75
2017M11,3.71
2017M12,3.66
2018M01,3.63
2018M02,3.7
2018M03,3.66
2018M04,3.64
2018M05,3.63
2018M06,3.7
2018M07,3.81
2018M08,3.87
2018M09,3.76
2018M10,3.75
2018M11,3.7
2018M12,3.66
2019M01,3.64
2019M02,3.72
2019M03,3.68
2019M04,3.67
2019M05,3.67
2019M06,3.73
2019M07,3.82
2019M08,3.89
2019M09,3.8
2019M10,3.77
2019M11,3.73
2019M12,3.67
2020M01,3.64
2020M02,3.7
2020M03,3.72
2020M04,4.03
2020M05,4.07
2020M06,3.96
2020M07,4
2020M08,3.99
2020M09,3.83
2020M10,3.8
